RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
394976,14,"Phoenix, AZ",Msa,AZ,225870,225333,225333,221667,217333,209575,205408,199850,194218,184678,177486,172510,169549,166633,164667,163000,159667,156667,154000,154327,152661,151061,148400,148367,149300,149967,150000,148333,145000,142667,141950,141950,140950,138333,136667,134600,134200,132200,130933,129000,128667,128667,128000,129500,131167,133996,134829,137829,143000,150775,156108,159442,161350,163017,166017,168667,172000,172933,173933,177267,181667,187333,191211,195878,196878,197967,198783,200450,201817,201167,200500,200700,201867,204200,206333,208167,210167,208180,208422,206822,210142,210367,211663,210972,211922,215892,219800,222550,222550,222667,224000,225833,228067,228033,228700,227985,230405,233239,236720,237667,238333,240000,242500,244084,244084,242751,242825,242825,244958,246963,250630,253297,254633,254300,255767,257100,258733,258654,260987,262687,264333,266667,270000,274283,274556,274556,274606,275632,277263,277263,276655,276023,278357,283333,287000,289333,290167,291800,294800,295765,297798,297798,299665,301332,302832,302500,304167,309330,317663,324330,330667,334000,335667,338333
395078,15,"Seattle, WA",Msa,WA,348667,348333,350000,349167,345910,337662,331858,325208,326789,325093,323380,318177,315452,317062,320598,321490,318150,313150,308733,305083,306083,305880,307878,306545,306332,308722,305722,312389,311333,313000,304333,301333,301631,296964,295298,293130,296463,294549,294616,290616,289197,281000,275000,270000,267667,262667,259333,261667,275000,286500,294833,298167,297583,295917,292677,292760,291093,284000,283093,286424,300184,311757,320161,328495,330161,330170,326743,323326,321296,314629,313030,312660,320900,326423,335652,339486,341646,338073,334917,333917,333528,332928,332594,337983,346167,354833,362250,364083,367321,361571,361066,356662,356662,355500,355240,360240,366906,379667,389667,398000,400000,397500,394460,394747,398824,395734,395447,397533,415236,428656,441660,444387,445290,443590,442891,443568,447886,445285,451861,457576,479816,489740,495073,489817,481650,472983,465000,463667,463667,459833,464167,474489,489312,501129,504123,503133,494983,486667,485700,483446,490113,487746,494333,502658,517658,518324,522001,528792,545457,556715,561590,562925,553000,549667
394865,16,"Minneapolis-St Paul, MN",Msa,MN,220183,220383,220050,220033,220033,217700,212633,206300,203633,199967,194866,188533,183899,185333,187000,191967,191967,191967,188333,186333,184248,180881,179515,179933,183300,184333,187067,193700,199367,199967,196250,191250,189583,184983,179983,173649,171332,174232,178233,180567,180333,175950,170950,165783,162500,160483,157983,159317,162567,169233,176067,182500,187000,187167,184500,182000,180300,176933,171933,172300,177333,187000,196533,205381,210381,209167,206986,205302,205483,203817,201833,200083,202103,206770,213687,217317,219650,215883,213567,210900,211060,209044,207877,209817,216167,222222,226222,227889,228097,226764,223414,223550,223550,223067,220500,219500,223967,229300,235300,238333,239667,237333,236000,234333,233583,230625,228291,230208,236167,242500,249333,251833,254500,251500,249000,245737,246371,246248,247844,250378,255400,260550,263050,265150,265000,264667,264667,265650,265150,263467,262300,267217,273867,280717,283800,285167,285167,283000,281633,280967,280933,278800,277800,282833,292333,297667,299333,301713,308046,310972,311601,309934,308575,306567
395056,17,"San Diego, CA",Msa,CA,456667,443167,442250,430167,423000,410583,399333,385000,373333,360833,357500,354167,356333,359667,366333,370333,372000,369833,366167,362333,362833,359167,358000,359667,363333,368333,368333,373000,375667,375000,372000,367667,366667,356667,350000,350000,356667,361667,361333,363000,361333,355000,351667,346667,346583,341583,339917,340000,346000,354333,359667,361667,363000,361667,363500,366500,374167,374333,375000,379333,396333,414667,425333,431667,430000,431667,428333,430000,429333,429167,426500,428833,437333,446667,453333,456167,459500,459500,457417,450750,447417,446667,450000,455000,460083,468417,476417,482167,482167,475833,471667,475000,480000,481917,475250,475250,483333,495250,501917,504417,507500,509167,514500,512833,512833,507333,507333,514000,521667,535000,543333,550000,551667,548167,545667,545667,550000,550167,549833,553667,567667,579000,586000,589333,593500,593500,588333,586500,579833,577833,571167,574833,577417,580750,587083,588333,592500,584167,584833,587333,589000,593000,594667,601000,601333,596333,598333,611333,631333,648000,651667,653333,651667,651667
395121,18,"St. Louis, MO",Msa,MO,149833,155000,159000,163333,163000,158667,154000,148667,144667,136233,133567,133400,137500,140167,145920,150920,153420,151133,148467,144967,142833,140667,140422,140922,143755,147333,152333,156667,157500,154333,150400,149067,149867,148800,145300,138338,136005,138338,144454,148454,150121,146233,143400,141317,141774,137941,133358,131667,135276,141928,148595,152986,154667,152000,149000,146489,145789,144323,141667,142367,145500,150000,156667,161633,164133,160467,157167,154333,154333,152667,149333,146167,147000,153000,161167,165333,166333,161000,158650,156283,156283,152300,150333,150333,154000,159000,164667,168900,169900,166233,163000,159333,159000,156667,154333,154333,157983,166317,173817,177167,176000,171167,169800,167967,168600,166967,165967,165333,167333,172967,178967,183633,183000,181000,176833,176833,175500,173333,171417,171083,175750,181333,186500,189500,188500,184967,180832,177332,178032,177500,177042,176375,178708,185667,194000,198333,199917,193250,191583,188333,189667,188000,183728,184028,188384,197990,204023,209167,214667,216367,215867,211667,209050,205017
395148,19,"Tampa, FL",Msa,FL,176633,177765,177798,178798,177667,174333,168667,162998,157998,155998,151983,150317,147317,146333,147333,149000,148833,145167,141500,140833,140167,138167,136300,133967,134300,134333,138300,138300,139967,137000,137333,134000,133313,129697,126364,121717,120833,122500,126500,127333,127667,124933,122017,119350,119750,119333,118333,116667,119000,122333,127333,131667,135000,134433,131767,131767,133667,134667,133333,135333,137667,143983,148983,157150,160500,159833,158000,156333,157917,155583,153083,151333,153333,159000,162833,167832,169665,169165,169833,167500,168333,164333,163667,163667,167000,171333,175333,180275,181442,181442,178167,177333,177333,176017,176017,175350,180000,184967,190633,193633,195333,193000,192000,192000,194872,193872,192206,192633,196300,201967,206667,211833,212833,211500,208333,210000,211667,211667,209967,210633,214878,218245,222575,224997,226330,224667,223000,224333,225967,225967,224300,222667,224333,226333,229667,233000,235000,234500,232966,232932,235099,234967,235000,235000,241000,245333,249480,252971,256971,261156,262665,264332,264333,264997
394358,20,"Baltimore, MD",Msa,MD,258650,259150,264333,268500,272833,273500,269651,265984,259224,254240,250240,250448,250115,248448,250833,254167,263585,262752,261052,249967,246633,245000,246667,248333,246667,246667,248333,251667,262000,263667,270333,263967,256533,248900,244933,249033,250000,251333,254733,259733,266733,261667,253597,245238,244405,245513,242205,237338,236800,246800,258101,266186,266186,265586,261667,258333,253000,254333,247667,246333,248667,259667,269667,277667,281667,285342,280342,280342,277283,273471,263471,260521,265750,277083,287417,289249,289604,283271,281688,278333,277833,277167,277165,275198,275865,277533,283333,293333,291667,288333,274967,271633,273300,271000,270167,266000,271667,280833,291667,300000,300000,294333,288667,283633,280133,274133,269167,265000,269000,279000,290333,296300,295967,291300,286333,284500,284167,280833,274025,272658,277658,287967,294667,300333,302333,302300,299300,298628,296328,289645,284150,281483,285500,291667,300000,308333,308333,305000,299422,297422,295755,289667,285898,286565,296565,303000,305667,307333,313333,320000,321000,321667,315000,312333
394530,21,"Denver, CO",Msa,CO,243267,243092,242934,246268,246776,241467,236500,230167,227667,218000,215667,214333,221667,226000,230500,231167,231833,227617,225617,219950,219000,219167,223776,227110,228576,230133,233433,240800,248600,251050,248717,245417,244667,240000,240667,241667,244667,244000,244667,246667,246667,243333,240333,239333,239300,240164,234664,235364,239167,250233,257900,261567,261073,257740,255740,255083,253417,253083,255333,262000,268317,272567,275520,277870,276954,273030,268730,265397,266367,265667,265800,268133,274800,282433,286433,288100,286000,283000,281000,283667,288000,292394,296728,305728,313167,321000,324000,323451,320618,315618,316333,319667,323333,325000,329042,337375,346042,355333,362000,366000,362667,356833,355667,356667,360833,361500,364677,370086,378886,385348,390906,391439,389133,382833,381333,381333,387333,391727,401394,406890,415830,421163,425191,423525,420858,415333,412340,410007,410340,408539,408206,411539,418000,425917,428917,431917,430667,427667,425700,424367,424367,423333,425667,434000,439000,442531,442531,449197,455000,459967,463300,465633,465000,461667
394982,22,"Pittsburgh, PA",Msa,PA,121425,123925,125467,130167,130833,128250,124750,122083,120083,120250,118083,120167,118833,124000,126333,129667,129000,127333,125942,123025,121025,117150,117733,119733,124000,127333,128967,130400,130367,131233,130783,127483,125483,121983,121650,123150,123333,128633,130300,136097,136797,135463,132650,128650,127150,125500,123917,123083,126750,131667,139667,142667,144333,139667,138000,135567,135900,132900,131650,131317,134650,140000,145333,148633,149467,147133,143500,139333,136333,132183,129350,130100,134583,139917,144983,149300,152800,149650,145333,139492,139825,139492,139300,139383,141633,146633,150883,155300,157000,153567,148233,144900,146000,144667,142333,140667,145667,151333,158000,160000,161667,158333,156167,153500,151833,149667,147333,147500,150842,158408,164908,169233,169300,165967,162800,161167,159500,156667,154000,157333,161167,165500,171167,175000,176833,172167,167000,163583,163250,163383,162300,162800,166167,171833,179000,184000,188300,183300,179933,175217,174550,169583,164725,165392,175058,183267,187933,190267,194667,196667,194633,190633,187300,186967
394998,23,"Portland, OR",Msa,OR,271800,274467,276967,280967,279633,271000,267333,262167,259500,253167,253167,251167,249547,246713,247449,247402,247369,244633,242933,237967,238300,238333,239333,239849,240159,240792,242284,245298,249332,248990,245333,243000,243000,239967,234950,229917,229950,231450,233362,233362,232445,229233,225900,225333,223300,221633,218300,220000,225198,231532,237703,240838,241523,239352,239019,238950,239950,240117,239000,242333,245800,253633,258233,265567,268233,268633,265667,264000,260667,257790,258457,261862,267920,272586,278848,284500,286167,286112,282595,280928,280150,277833,277333,278000,285200,292367,299867,304167,305833,303500,301333,301333,305000,304967,304726,308393,318760,328333,336317,337650,340978,339062,339062,338033,337967,339633,339000,344333,351000,361667,368667,373667,374750,372750,371083,367908,367908,371242,375284,378618,381951,388333,395650,396317,397983,392633,391347,387623,385989,383276,384667,387667,392667,398300,403300,406632,404998,402482,400817,402450,403300,403441,401808,406808,411667,415000,418333,424667,433833,438833,443833,443283,443283,442514
